Ticker,Date,Open,High,Low,Close
DJUSBK,01/18/2018,500.57,500.57,500.57,500.57
DJUSBK,01/17/2018,500.05,500.05,500.05,500.05
DJUSBK,01/16/2018,497.0,497.0,497.0,497.0
DJUSBK,01/15/2018,497.98,497.98,497.98,497.98
DJUSBK,01/12/2018,497.98,497.98,497.98,497.98
DJUSBK,01/11/2018,493.59,493.59,493.59,493.59
DJUSBK,01/10/2018,490.89,490.89,490.89,490.89
DJUSBK,01/09/2018,485.61,485.61,485.61,485.61
DJUSBK,01/08/2018,481.66,481.66,481.66,481.66
DJUSBK,01/05/2018,483.51,483.51,483.51,483.51
DJUSBK,01/04/2018,482.58,482.58,482.58,482.58
DJUSBK,01/03/2018,478.05,478.05,478.05,478.05
DJUSBK,01/02/2018,476.7,476.7,476.7,476.7
DJUSBK,12/31/2019,520.66,520.66,520.66,520.66
DJUSBK,12/30/2019,519.08,519.08,519.08,519.08
DJUSBK,12/27/2019,521.03,521.03,521.03,521.03
DJUSBK,12/26/2019,522.68,522.68,522.68,522.68
DJUSBK,12/25/2019,518.55,518.55,518.55,518.55
DJUSBK,12/24/2019,518.55,518.55,518.55,518.55
DJUSBK,12/23/2019,517.86,517.86,517.86,517.86
DJUSBK,12/20/2019,517.32,517.32,517.32,517.32
DJUSBK,12/19/2019,517.27,517.27,517.27,517.27
DJUSBK,12/18/2019,518.56,518.56,518.56,518.56
DJUSBK,12/17/2019,520.15,520.15,520.15,520.15
DJUSBK,12/16/2019,516.39,516.39,516.39,516.39
DJUSBK,12/13/2019,513.44,513.44,513.44,513.44
DJUSBK,12/12/2019,517.63,517.63,517.63,517.63
DJUSBK,12/11/2019,503.4,503.4,503.4,503.4
DJUSBK,12/10/2019,505.42,505.42,505.42,505.42
DJUSBK,12/09/2019,504.56,504.56,504.56,504.56
DJUSBK,12/06/2019,506.33,506.33,506.33,506.33
DJUSBK,12/05/2019,498.73,498.73,498.73,498.73
DJUSBK,12/04/2019,497.04,497.04,497.04,497.04
DJUSBK,12/03/2019,490.67,490.67,490.67,490.67
DJUSBK,12/02/2019,498.41,498.41,498.41,498.41
DJUSBK,11/29/2019,500.85,500.85,500.85,500.85
DJUSBK,11/28/2019,502.49,502.49,502.49,502.49
DJUSBK,11/27/2019,502.49,502.49,502.49,502.49
DJUSBK,11/26/2019,500.04,500.04,500.04,500.04
DJUSBK,11/25/2019,501.68,501.68,501.68,501.68
DJUSBK,11/22/2019,498.73,498.73,498.73,498.73
DJUSBK,11/21/2019,494.16,494.16,494.16,494.16
DJUSBK,11/20/2019,493.48,493.48,493.48,493.48
DJUSBK,11/19/2019,496.83,496.83,496.83,496.83
DJUSBK,11/18/2019,496.49,496.49,496.49,496.49
DJUSBK,11/15/2019,495.19,495.19,495.19,495.19
DJUSBK,11/14/2019,492.27,492.27,492.27,492.27
DJUSBK,11/13/2019,492.48,492.48,492.48,492.48
DJUSBK,11/12/2019,497.21,497.21,497.21,497.21
DJUSBK,11/11/2019,498.33,498.33,498.33,498.33
DJUSBK,11/08/2019,500.31,500.31,500.31,500.31
DJUSBK,11/07/2019,499.45,499.45,499.45,499.45
DJUSBK,11/06/2019,495.68,495.68,495.68,495.68
DJUSBK,11/05/2019,495.66,495.66,495.66,495.66
DJUSBK,11/04/2019,492.12,492.12,492.12,492.12
DJUSBK,11/01/2019,485.33,485.33,485.33,485.33
DJUSBK,10/31/2019,476.09,476.09,476.09,476.09
DJUSBK,10/30/2019,481.0,481.0,481.0,481.0
DJUSBK,10/29/2019,484.73,484.73,484.73,484.73
DJUSBK,10/28/2019,483.14,483.14,483.14,483.14
DJUSBK,10/25/2019,480.55,480.55,480.55,480.55
DJUSBK,10/24/2019,475.96,475.96,475.96,475.96
DJUSBK,10/23/2019,477.24,477.24,477.24,477.24
DJUSBK,10/22/2019,475.33,475.33,475.33,475.33
DJUSBK,10/21/2019,472.62,472.62,472.62,472.62
DJUSBK,10/18/2019,463.64,463.64,463.64,463.64
DJUSBK,10/17/2019,461.5,461.5,461.5,461.5
DJUSBK,10/16/2019,460.82,460.82,460.82,460.82
DJUSBK,10/15/2019,461.77,461.77,461.77,461.77
DJUSBK,10/14/2019,452.73,452.73,452.73,452.73
DJUSBK,10/11/2019,451.81,451.81,451.81,451.81
DJUSBK,10/10/2019,444.5,444.5,444.5,444.5
DJUSBK,10/09/2019,438.26,438.26,438.26,438.26
DJUSBK,10/08/2019,434.81,434.81,434.81,434.81
DJUSBK,10/07/2019,445.32,445.32,445.32,445.32
DJUSBK,10/04/2019,446.64,446.64,446.64,446.64
DJUSBK,10/03/2019,438.5,438.5,438.5,438.5
DJUSBK,10/02/2019,438.98,438.98,438.98,438.98
DJUSBK,10/01/2019,447.12,447.12,447.12,447.12
DJUSBK,09/30/2019,457.39,457.39,457.39,457.39
DJUSBK,09/27/2019,458.87,458.87,458.87,458.87
DJUSBK,09/26/2019,454.64,454.64,454.64,454.64
DJUSBK,09/25/2019,457.72,457.72,457.72,457.72
DJUSBK,09/24/2019,452.41,452.41,452.41,452.41
DJUSBK,09/23/2019,458.74,458.74,458.74,458.74
DJUSBK,09/20/2019,458.05,458.05,458.05,458.05
DJUSBK,09/19/2019,460.5,460.5,460.5,460.5
DJUSBK,09/18/2019,462.78,462.78,462.78,462.78
DJUSBK,09/17/2019,459.75,459.75,459.75,459.75
DJUSBK,09/16/2019,462.77,462.77,462.77,462.77
DJUSBK,09/13/2019,464.17,464.17,464.17,464.17
DJUSBK,09/12/2019,457.99,457.99,457.99,457.99
DJUSBK,09/11/2019,456.35,456.35,456.35,456.35
DJUSBK,09/10/2019,454.0,454.0,454.0,454.0
DJUSBK,09/09/2019,447.84,447.84,447.84,447.84
DJUSBK,09/06/2019,434.19,434.19,434.19,434.19
DJUSBK,09/05/2019,436.03,436.03,436.03,436.03
DJUSBK,09/04/2019,425.47,425.47,425.47,425.47
DJUSBK,09/03/2019,420.58,420.58,420.58,420.58
DJUSBK,09/02/2019,427.36,427.36,427.36,427.36
DJUSBK,08/30/2019,427.36,427.36,427.36,427.36
DJUSBK,08/28/2019,416.68,416.68,416.68,416.68
